Query seq,Query length (nt),Hit HOT,Hit HOMD seq name,HOMD clone name,Identities (%),Mismatch,Identities (no gaps & non-AGCTU)(%),Mismatch (no gaps & non-AGCTU),Score (bits),Query Start,Subject Start,Query End,Subject End
20,300,824,824_5951 ,Bacillus anthracis | HOT_824 | Strain_Delta Ames | GB_AF155951 | Named | G | 0,100,0/300,100,0/300,542,1,321,300,620
4959,261,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/261,100,0/261,471,1,281,261,541
4960,258,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/258,100,0/258,466,1,281,258,538
4961,257,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/257,100,0/257,464,1,281,257,537
4962,259,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/259,100,0/259,468,1,281,259,539
4963,260,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/260,100,0/260,470,1,281,260,540
4989,237,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/237,100,0/237,428,1,281,237,517
4993,235,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/235,100,0/235,425,1,281,235,515
4997,236,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/236,100,0/236,426,1,281,236,516
5042,215,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/215,100,0/215,389,1,281,215,495
5043,214,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/214,100,0/214,387,1,281,214,494
5106,298,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/298,100,0/298,538,1,281,298,578
5107,300,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/300,100,0/300,542,1,281,300,580
5108,296,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/296,100,0/296,535,1,281,296,576
5109,297,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/297,100,0/297,536,1,281,297,577
5111,299,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/299,100,0/299,540,1,281,299,579
5133,294,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/294,100,0/294,531,1,281,294,574
5134,293,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/293,100,0/293,529,1,281,293,573
5156,278,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/278,100,0/278,502,1,281,278,558
5158,275,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/275,100,0/275,497,1,281,275,555
5205,186,854,854_3152 ,Ralstonia pickettii | HOT_854 | Strain_ATCC 27511 | GB_NR_043152 | Named | G | 0,100,0/186,100,0/186,336,1,313,186,498
5207,187,854,854_3152 ,Ralstonia pickettii | HOT_854 | Strain_ATCC 27511 | GB_NR_043152 | Named | G | 0,100,0/187,100,0/187,338,1,313,187,499
5228,232,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,97.4,6/232,97.4,6/232,392,1,281,232,512
5231,233,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,97.4,6/233,97.4,6/233,394,1,281,233,513
5250,237,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,97,7/237,97,7/237,396,1,281,237,517
5251,236,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,97.4,6/234,97.4,6/234,396,1,281,234,514
5272,277,004,004_9487 ,Sphingomonas sp. | HOT_004 | Clone_nby660h11c1 | GB_HM839487 | Phylotype | X | 1,97.1,8/277,97.1,8/277,464,1,281,277,557
5273,276,004,004_9487 ,Sphingomonas sp. | HOT_004 | Clone_nby660h11c1 | GB_HM839487 | Phylotype | X | 1,97.4,7/274,97.4,7/274,462,1,281,274,554
5296,295,004,004_9487 ,Sphingomonas sp. | HOT_004 | Clone_nby660h11c1 | GB_HM839487 | Phylotype | X | 1,97.3,8/295,97.3,8/295,497,1,281,295,575
5327,251,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,97.2,7/251,97.2,7/251,421,1,281,251,531
5330,253,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,97.2,7/253,97.2,7/253,425,1,281,253,533
5388,218,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,97.2,6/218,97.2,6/218,367,1,281,218,498
5390,219,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,97.3,6/219,97.3,6/219,369,1,281,219,499
5392,217,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,97.2,6/217,97.2,6/217,365,1,281,217,497
5410,183,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,97.3,5/183,97.3,5/183,307,1,281,183,463
5411,184,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,97.3,5/184,97.3,5/184,309,1,281,184,464
5427,187,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,97.3,5/187,97.3,5/187,315,1,281,187,467
5428,188,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,97.3,5/188,97.3,5/188,316,1,281,188,468
5440,276,854,854_3152 ,Ralstonia pickettii | HOT_854 | Strain_ATCC 27511 | GB_NR_043152 | Named | G | 0,100,0/276,100,0/276,499,1,313,276,588
5442,279,854,854_3152 ,Ralstonia pickettii | HOT_854 | Strain_ATCC 27511 | GB_NR_043152 | Named | G | 0,100,0/279,100,0/279,504,1,313,279,591
5445,278,854,854_3152 ,Ralstonia pickettii | HOT_854 | Strain_ATCC 27511 | GB_NR_043152 | Named | G | 0,100,0/278,100,0/278,502,1,313,278,590
5462,263,854,854_3152 ,Ralstonia pickettii | HOT_854 | Strain_ATCC 27511 | GB_NR_043152 | Named | G | 0,100,0/263,100,0/263,475,1,313,263,575
5463,262,854,854_3152 ,Ralstonia pickettii | HOT_854 | Strain_ATCC 27511 | GB_NR_043152 | Named | G | 0,100,0/262,100,0/262,473,1,313,262,574
5464,266,854,854_3152 ,Ralstonia pickettii | HOT_854 | Strain_ATCC 27511 | GB_NR_043152 | Named | G | 0,100,0/266,100,0/266,480,1,313,266,578
5465,265,854,854_3152 ,Ralstonia pickettii | HOT_854 | Strain_ATCC 27511 | GB_NR_043152 | Named | G | 0,100,0/265,100,0/265,479,1,313,265,577
5467,264,854,854_3152 ,Ralstonia pickettii | HOT_854 | Strain_ATCC 27511 | GB_NR_043152 | Named | G | 0,100,0/264,100,0/264,477,1,313,264,576
5490,292,854,854_3152 ,Ralstonia pickettii | HOT_854 | Strain_ATCC 27511 | GB_NR_043152 | Named | G | 0,100,0/292,100,0/292,527,1,313,292,604
5492,294,854,854_3152 ,Ralstonia pickettii | HOT_854 | Strain_ATCC 27511 | GB_NR_043152 | Named | G | 0,100,0/294,100,0/294,531,1,313,294,606
5505,209,854,854_3152 ,Ralstonia pickettii | HOT_854 | Strain_ATCC 27511 | GB_NR_043152 | Named | G | 0,100,0/209,100,0/209,378,1,313,209,521
5508,208,854,854_3152 ,Ralstonia pickettii | HOT_854 | Strain_ATCC 27511 | GB_NR_043152 | Named | G | 0,100,0/208,100,0/208,376,1,313,208,520
5523,210,854,854_3152 ,Ralstonia pickettii | HOT_854 | Strain_ATCC 27511 | GB_NR_043152 | Named | G | 0,100,0/210,100,0/210,379,1,313,210,522
5524,211,854,854_3152 ,Ralstonia pickettii | HOT_854 | Strain_ATCC 27511 | GB_NR_043152 | Named | G | 0,100,0/211,100,0/211,381,1,313,211,523
5542,218,854,854_3152 ,Ralstonia pickettii | HOT_854 | Strain_ATCC 27511 | GB_NR_043152 | Named | G | 0,100,0/218,100,0/218,394,1,313,218,530
5567,203,854,854_3152 ,Ralstonia pickettii | HOT_854 | Strain_ATCC 27511 | GB_NR_043152 | Named | G | 0,100,0/203,100,0/203,367,1,313,203,515
5570,200,854,854_3152 ,Ralstonia pickettii | HOT_854 | Strain_ATCC 27511 | GB_NR_043152 | Named | G | 0,100,0/200,100,0/200,361,1,313,200,512
5571,201,854,854_3152 ,Ralstonia pickettii | HOT_854 | Strain_ATCC 27511 | GB_NR_043152 | Named | G | 0,100,0/201,100,0/201,363,1,313,201,513
5591,234,854,854_3152 ,Ralstonia pickettii | HOT_854 | Strain_ATCC 27511 | GB_NR_043152 | Named | G | 0,100,0/234,100,0/234,423,1,313,234,546
5592,235,854,854_3152 ,Ralstonia pickettii | HOT_854 | Strain_ATCC 27511 | GB_NR_043152 | Named | G | 0,100,0/235,100,0/235,425,1,313,235,547
5593,233,854,854_3152 ,Ralstonia pickettii | HOT_854 | Strain_ATCC 27511 | GB_NR_043152 | Named | G | 0,100,0/233,100,0/233,421,1,313,233,545
5594,237,854,854_3152 ,Ralstonia pickettii | HOT_854 | Strain_ATCC 27511 | GB_NR_043152 | Named | G | 0,100,0/237,100,0/237,428,1,313,237,549
5595,236,854,854_3152 ,Ralstonia pickettii | HOT_854 | Strain_ATCC 27511 | GB_NR_043152 | Named | G | 0,100,0/236,100,0/236,426,1,313,236,548
5619,243,854,854_3152 ,Ralstonia pickettii | HOT_854 | Strain_ATCC 27511 | GB_NR_043152 | Named | G | 0,100,0/243,100,0/243,439,1,313,243,555
5620,244,854,854_3152 ,Ralstonia pickettii | HOT_854 | Strain_ATCC 27511 | GB_NR_043152 | Named | G | 0,100,0/244,100,0/244,441,1,313,244,556
5623,245,854,854_3152 ,Ralstonia pickettii | HOT_854 | Strain_ATCC 27511 | GB_NR_043152 | Named | G | 0,100,0/245,100,0/245,443,1,313,245,557
5641,289,406,406AK168 ,Ralstonia sp. | HOT_406 | Clone_AK168 | GB_AY005032 | Phylotype | X | 1,91.4,25/290,92,23/288,403,1,313,289,601
5642,282,406,406AK168 ,Ralstonia sp. | HOT_406 | Clone_AK168 | GB_AY005032 | Phylotype | X | 1,91.5,24/281,92.1,22/279,392,1,313,280,592
5643,280,406,406AK168 ,Ralstonia sp. | HOT_406 | Clone_AK168 | GB_AY005032 | Phylotype | X | 1,91.5,24/281,92.1,22/279,392,1,313,280,592
5667,265,027,027_5039 ,Cupriavidus gilardii | HOT_027 | Strain_C37KA | GB_AY005039 | Named | X | 2,91.5,22/258,91.5,22/258,367,1,305,258,562
5668,266,027,027_5039 ,Cupriavidus gilardii | HOT_027 | Strain_C37KA | GB_AY005039 | Named | X | 2,91.5,22/258,91.5,22/258,367,1,305,258,562
5669,264,027,027_5039 ,Cupriavidus gilardii | HOT_027 | Strain_C37KA | GB_AY005039 | Named | X | 2,91.5,22/258,91.5,22/258,367,1,305,258,562
5670,263,406,406AK168 ,Ralstonia sp. | HOT_406 | Clone_AK168 | GB_AY005032 | Phylotype | X | 1,91.5,22/259,92.2,20/257,361,1,313,258,570
5696,220,020,020_1395 ,Neisseria sp. | HOT_020 | Clone_069085_216 | GB_JQ451395 | Unnamed | G | 3,91.4,19/221,92.2,17/219,306,1,314,220,533
5725,209,020,020_1395 ,Neisseria sp. | HOT_020 | Clone_069085_216 | GB_JQ451395 | Unnamed | G | 3,91,19/210,91.8,17/208,286,1,314,209,522
5726,208,020,020_1395 ,Neisseria sp. | HOT_020 | Clone_069085_216 | GB_JQ451395 | Unnamed | G | 3,91.3,18/207,92.2,16/205,286,1,314,206,519
5743,202,020,020_1395 ,Neisseria sp. | HOT_020 | Clone_069085_216 | GB_JQ451395 | Unnamed | G | 3,91.1,18/203,92,16/201,279,1,314,202,515
5744,203,020,020_1395 ,Neisseria sp. | HOT_020 | Clone_069085_216 | GB_JQ451395 | Unnamed | G | 3,91.2,18/204,92.1,16/202,280,1,314,203,516
5747,204,020,020_1395 ,Neisseria sp. | HOT_020 | Clone_069085_216 | GB_JQ451395 | Unnamed | G | 3,91.2,18/205,92.1,16/203,282,1,314,204,517
5771,212,020,020_1395 ,Neisseria sp. | HOT_020 | Clone_069085_216 | GB_JQ451395 | Unnamed | G | 3,91.1,19/213,91.9,17/211,291,1,314,212,525
5772,214,020,020_1395 ,Neisseria sp. | HOT_020 | Clone_069085_216 | GB_JQ451395 | Unnamed | G | 3,91.2,19/215,92,17/213,295,1,314,214,527
5790,211,020,020_1395 ,Neisseria sp. | HOT_020 | Clone_069085_216 | GB_JQ451395 | Unnamed | G | 3,91,19/212,91.9,17/210,289,1,314,211,524
5791,210,020,020_1395 ,Neisseria sp. | HOT_020 | Clone_069085_216 | GB_JQ451395 | Unnamed | G | 3,91,19/211,91.9,17/209,288,1,314,210,523
5808,244,020,020_1395 ,Neisseria sp. | HOT_020 | Clone_069085_216 | GB_JQ451395 | Unnamed | G | 3,91.8,20/245,92.6,18/243,345,1,314,244,557
5809,246,020,020_1395 ,Neisseria sp. | HOT_020 | Clone_069085_216 | GB_JQ451395 | Unnamed | G | 3,91.9,20/246,92.6,18/244,347,1,314,245,558
5810,245,020,020_1395 ,Neisseria sp. | HOT_020 | Clone_069085_216 | GB_JQ451395 | Unnamed | G | 3,91.9,20/246,92.6,18/244,347,1,314,245,558
5832,236,020,020_1395 ,Neisseria sp. | HOT_020 | Clone_069085_216 | GB_JQ451395 | Unnamed | G | 3,92,19/237,92.8,17/235,334,1,314,236,549
5833,237,020,020_1395 ,Neisseria sp. | HOT_020 | Clone_069085_216 | GB_JQ451395 | Unnamed | G | 3,92,19/238,92.8,17/236,336,1,314,237,550
5834,238,020,020_1395 ,Neisseria sp. | HOT_020 | Clone_069085_216 | GB_JQ451395 | Unnamed | G | 3,92.1,19/239,92.8,17/237,338,1,314,238,551
5836,235,020,020_1395 ,Neisseria sp. | HOT_020 | Clone_069085_216 | GB_JQ451395 | Unnamed | G | 3,91.9,19/236,92.7,17/234,333,1,314,235,548
5853,237,612,612_4476 ,Pseudomonas fluorescens | HOT_612 | Strain_ATCC 13525 | GB_NR_114476 | Named | G | 2,100,0/237,100,0/237,428,1,307,237,543
5855,238,612,612_4476 ,Pseudomonas fluorescens | HOT_612 | Strain_ATCC 13525 | GB_NR_114476 | Named | G | 2,100,0/238,100,0/238,430,1,307,238,544
5856,235,612,612_4476 ,Pseudomonas fluorescens | HOT_612 | Strain_ATCC 13525 | GB_NR_114476 | Named | G | 2,100,0/235,100,0/235,425,1,307,235,541
5876,235,827,827_7604 ,Yersinia pestis | HOT_827 | Strain_not listed | GB_L37604 | Named | G | 0,96.6,8/237,98.3,4/233,378,1,313,235,547
5878,236,827,827_7604 ,Yersinia pestis | HOT_827 | Strain_not listed | GB_L37604 | Named | G | 0,96.6,8/238,98.3,4/234,379,1,313,236,548
5935,300,827,827_7604 ,Yersinia pestis | HOT_827 | Strain_not listed | GB_L37604 | Named | G | 0,97.4,8/302,98.7,4/298,495,1,313,300,612
5936,298,827,827_7604 ,Yersinia pestis | HOT_827 | Strain_not listed | GB_L37604 | Named | G | 0,97.3,8/300,98.6,4/296,491,1,313,298,610
5961,265,827,827_7604 ,Yersinia pestis | HOT_827 | Strain_not listed | GB_L37604 | Named | G | 0,97,8/267,98.5,4/263,432,1,313,265,577
5962,251,827,827_7604 ,Yersinia pestis | HOT_827 | Strain_not listed | GB_L37604 | Named | G | 0,96.8,8/253,98.4,4/249,407,1,313,251,563
5991,230,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/230,100,0/230,416,1,281,230,510
5994,231,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/231,100,0/231,417,1,281,231,511
5995,232,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/232,100,0/232,419,1,281,232,512
6027,242,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/242,100,0/242,437,1,281,242,522
6028,243,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/243,100,0/243,439,1,281,243,523
6029,241,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/241,100,0/241,435,1,281,241,521
6055,213,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/213,100,0/213,385,1,281,213,493
6056,212,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/212,100,0/212,383,1,281,212,492
6088,219,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/219,100,0/219,396,1,281,219,499
6090,220,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/220,100,0/220,398,1,281,220,500
6091,221,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/221,100,0/221,399,1,281,221,501
6118,205,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/205,100,0/205,370,1,281,205,485
6120,204,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/204,100,0/204,369,1,281,204,484
6124,206,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/206,100,0/206,372,1,281,206,486
6154,283,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/283,100,0/283,511,1,281,283,563
6156,284,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/284,100,0/284,513,1,281,284,564
6158,285,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/285,100,0/285,515,1,281,285,565
6185,268,004,004_9487 ,Sphingomonas sp. | HOT_004 | Clone_nby660h11c1 | GB_HM839487 | Phylotype | X | 1,100,0/266,100,0/266,480,1,281,266,546
6186,267,004,004_9487 ,Sphingomonas sp. | HOT_004 | Clone_nby660h11c1 | GB_HM839487 | Phylotype | X | 1,100,0/266,100,0/266,480,1,281,266,546
6189,266,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/266,100,0/266,480,1,281,266,546
6219,276,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/276,100,0/276,499,1,281,276,556
6220,277,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/277,100,0/277,500,1,281,277,557
6242,300,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,97,9/300,97,9/300,500,1,281,300,580
6245,298,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,97,9/298,97,9/298,497,1,281,298,578
6246,299,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,97,9/299,97,9/299,499,1,281,299,579
6293,241,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,97.1,7/241,97.1,7/241,403,1,281,241,521
6337,209,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,97.1,6/209,97.1,6/209,351,1,281,209,489
6340,211,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,97.2,6/211,97.2,6/211,354,1,281,211,491
6354,214,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,97.2,6/214,97.2,6/214,360,1,281,214,494
6356,216,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,97.2,6/216,97.2,6/216,363,1,281,216,496
6358,215,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,97.2,6/215,97.2,6/215,361,1,281,215,495
6378,221,854,854_3152 ,Ralstonia pickettii | HOT_854 | Strain_ATCC 27511 | GB_NR_043152 | Named | G | 0,100,0/221,100,0/221,399,1,313,221,533
6379,224,854,854_3152 ,Ralstonia pickettii | HOT_854 | Strain_ATCC 27511 | GB_NR_043152 | Named | G | 0,100,0/224,100,0/224,405,1,313,224,536
6380,220,854,854_3152 ,Ralstonia pickettii | HOT_854 | Strain_ATCC 27511 | GB_NR_043152 | Named | G | 0,100,0/220,100,0/220,398,1,313,220,532
6381,223,854,854_3152 ,Ralstonia pickettii | HOT_854 | Strain_ATCC 27511 | GB_NR_043152 | Named | G | 0,100,0/223,100,0/223,403,1,313,223,535
6399,215,854,854_3152 ,Ralstonia pickettii | HOT_854 | Strain_ATCC 27511 | GB_NR_043152 | Named | G | 0,100,0/215,100,0/215,389,1,313,215,527
6402,212,854,854_3152 ,Ralstonia pickettii | HOT_854 | Strain_ATCC 27511 | GB_NR_043152 | Named | G | 0,100,0/212,100,0/212,383,1,313,212,524
6421,241,854,854_3152 ,Ralstonia pickettii | HOT_854 | Strain_ATCC 27511 | GB_NR_043152 | Named | G | 0,100,0/241,100,0/241,435,1,313,241,553
6422,242,854,854_3152 ,Ralstonia pickettii | HOT_854 | Strain_ATCC 27511 | GB_NR_043152 | Named | G | 0,100,0/242,100,0/242,437,1,313,242,554
6441,246,854,854_3152 ,Ralstonia pickettii | HOT_854 | Strain_ATCC 27511 | GB_NR_043152 | Named | G | 0,100,0/246,100,0/246,444,1,313,246,558
6443,251,854,854_3152 ,Ralstonia pickettii | HOT_854 | Strain_ATCC 27511 | GB_NR_043152 | Named | G | 0,100,0/251,100,0/251,453,1,313,251,563
6455,279,406,406AK168 ,Ralstonia sp. | HOT_406 | Clone_AK168 | GB_AY005032 | Phylotype | X | 1,91.4,24/280,92.1,22/278,390,1,313,279,591
6458,278,406,406AK168 ,Ralstonia sp. | HOT_406 | Clone_AK168 | GB_AY005032 | Phylotype | X | 1,91.4,24/279,92.1,22/277,389,1,313,278,590
6471,261,406,406AK168 ,Ralstonia sp. | HOT_406 | Clone_AK168 | GB_AY005032 | Phylotype | X | 1,91.5,22/259,92.2,20/257,361,1,313,258,570
6472,262,406,406AK168 ,Ralstonia sp. | HOT_406 | Clone_AK168 | GB_AY005032 | Phylotype | X | 1,91.5,22/259,92.2,20/257,361,1,313,258,570
6490,218,020,020_1395 ,Neisseria sp. | HOT_020 | Clone_069085_216 | GB_JQ451395 | Unnamed | G | 3,91.3,19/219,92.2,17/217,302,1,314,218,531
6491,215,020,020_1395 ,Neisseria sp. | HOT_020 | Clone_069085_216 | GB_JQ451395 | Unnamed | G | 3,91.2,19/216,92.1,17/214,297,1,314,215,528
6492,217,020,020_1395 ,Neisseria sp. | HOT_020 | Clone_069085_216 | GB_JQ451395 | Unnamed | G | 3,91.3,19/218,92.1,17/216,300,1,314,217,530
6507,223,020,020_1395 ,Neisseria sp. | HOT_020 | Clone_069085_216 | GB_JQ451395 | Unnamed | G | 3,91.5,19/224,92.3,17/222,311,1,314,223,536
6509,229,020,020_1395 ,Neisseria sp. | HOT_020 | Clone_069085_216 | GB_JQ451395 | Unnamed | G | 3,91.7,19/230,92.5,17/228,322,1,314,229,542
6530,199,020,020_1395 ,Neisseria sp. | HOT_020 | Clone_069085_216 | GB_JQ451395 | Unnamed | G | 3,91,18/200,91.9,16/198,273,1,314,199,512
6531,200,020,020_1395 ,Neisseria sp. | HOT_020 | Clone_069085_216 | GB_JQ451395 | Unnamed | G | 3,91,18/201,92,16/199,275,1,314,200,513
6532,201,020,020_1395 ,Neisseria sp. | HOT_020 | Clone_069085_216 | GB_JQ451395 | Unnamed | G | 3,91.1,18/202,92,16/200,277,1,314,201,514
6550,207,020,020_1395 ,Neisseria sp. | HOT_020 | Clone_069085_216 | GB_JQ451395 | Unnamed | G | 3,91.3,18/207,92.2,16/205,286,1,314,206,519
6551,205,020,020_1395 ,Neisseria sp. | HOT_020 | Clone_069085_216 | GB_JQ451395 | Unnamed | G | 3,91.3,18/206,92.2,16/204,284,1,314,205,518
6572,251,406,406AK168 ,Ralstonia sp. | HOT_406 | Clone_AK168 | GB_AY005032 | Phylotype | X | 1,92.1,20/252,92.8,18/250,358,1,313,251,563
6574,249,406,406AK168 ,Ralstonia sp. | HOT_406 | Clone_AK168 | GB_AY005032 | Phylotype | X | 1,92,20/250,92.7,18/248,354,1,313,249,561
6588,243,020,020_1395 ,Neisseria sp. | HOT_020 | Clone_069085_216 | GB_JQ451395 | Unnamed | G | 3,91.8,20/244,92.6,18/242,343,1,314,243,556
6590,242,020,020_1395 ,Neisseria sp. | HOT_020 | Clone_069085_216 | GB_JQ451395 | Unnamed | G | 3,91.8,20/243,92.5,18/241,342,1,314,242,555
6607,237,827,827_7604 ,Yersinia pestis | HOT_827 | Strain_not listed | GB_L37604 | Named | G | 0,96.7,8/239,98.3,4/235,381,1,313,237,549
6608,239,827,827_7604 ,Yersinia pestis | HOT_827 | Strain_not listed | GB_L37604 | Named | G | 0,96.7,8/241,98.3,4/237,385,1,313,239,551
6611,238,827,827_7604 ,Yersinia pestis | HOT_827 | Strain_not listed | GB_L37604 | Named | G | 0,96.7,8/240,98.3,4/236,383,1,313,238,550
6623,203,827,827_7604 ,Yersinia pestis | HOT_827 | Strain_not listed | GB_L37604 | Named | G | 0,96.1,8/205,98,4/201,320,1,313,203,515
6627,199,827,827_7604 ,Yersinia pestis | HOT_827 | Strain_not listed | GB_L37604 | Named | G | 0,96,8/201,98,4/197,313,1,313,199,511
6645,229,003,003_0566 ,Sphingomonas echinoides | HOT_003 | Clone_nby481c06c1 | GB_HM830566 | Named | X | 1,100,0/229,100,0/229,414,1,281,229,509
